Name,Ingredients
Singapore Chicken Layered Fried Rice,"spring onion greens, cumin powder, carrot, onion, black pepper powder, green chillies, sunflower oil, eggs noodles tossed oil, salt, soy sauce, white pepper powder, rice, chinese spice powder, red chilli powder, garlic, lemon, mayonnaise, sweet spicy red chilli sauce, boneless chicken, ginger, spring onion, tomato ketchup, vinegar, green bell pepper, red chilli sauce"
Tofu Pulao,"turmeric powder, salt, tomato take, rice, ghee, capsicum red yellow, red chilli powder, lentil sugar, ginger garlic paste, coriander, bay leaf, onion, coriander powder, tofu, green chillies, cumin seeds, garam masala powder"
Masala Sandwich With Rocket Leaves,"tomato, pav bhaji masala, salt, ginger, french bread rye bread, coriander leaves, paneer, rocket leaves salad leaves the sandwich, cloves garlic, onion, green bell pepper, potato"
Tomato Relish,"tomato, salt, red wine vinaigrette, cloves garlic, virgin olive oil, onion, black pepper powder, dijon mustard, cane sugar, dried oregano"
Dubuk Vade - Khandeshi Gram Flour Dumpling Curry,"salt, coriander leaves, coconut, red chilli powder, cloves garlic, gram flour, onion, cumin seeds, turmeric powder, garam masala powder"
Radish Soup,"salt, coriander leaves, water, mooli mullangi purple, black pepper powder, mooli mullangi, garam masala powder"
Mango Donut Cake With Chocolate Glaze,"baking powder, salt, mango pulp, baking soda, vivatta maida, sugar, vanilla, dark chocolate, cocoa powder, sunflower oil"
Matar Paneer Kachori Korma - Green Peas And Paneer Kachori Curry,"tomato, coriander leaves, ajwain, onion, cumin seeds, turmeric powder, sunflower oil, salt, cardamom podsseeds, mace, cashews, flour, garam masala powder, red chilli powder, curd, sugar, pepper, kasuri methi, amchur, paneer, green peas, ginger garlic paste, cinnamon stick, coriander powder, cloves"
Zucchini Roll Up Lasagne,"tomato, salt, red bell pepper, rosemary, black pepper corns, mozzarella cheese, virgin olive oil, cloves garlic, red chilli flakes, basil leaves, sugar, onion, thyme leaves, green zucchini"
Thengai Sadam (A Quick and Healthy Coconut Rice),"green chillies, salt, ginger, rice, mustard seeds, coconut, curry leaves, white urad dal, coconut oil, chana dal, peanuts fistful"
Karwar Ambade Udid Methi - Hog Plum Curry,"salt, coconut, asafoetida, karela, hog plum, rice, jaggery, black peppercorns, black urad dal, dry red chilli, mustard seeds, coriander seeds, methi seeds, turmeric powder, sunflower oil"
Roasted Cauliflower,"herbs herbs choice like basil, salt, black pepper powder red chilli powder, anardana powder, cauliflower, virgin olive oil, garlic, cumin seeds, pomegranate molasses or, coriander powder"
Pain Viennois | Vienna Bread,"salt, water, dry yeast, sugar, vivatta maida bread flour, eggs brushing or milk, milk powder, butter"
Crunchy Ginger Capsicum Rice,"yellow bell pepper, basmati rice, red bell pepper, ginger, salt, sesame seeds mixed black white, green bell pepper, green chillies, butter"
Bengali Chirer Payesh / Poha Pudding With Nolen Gur,"salt, nolen gur brown sugar, cardamom podsseeds, poha, milk, saffron strands, raisins, mixed nuts almondscashews, rice flour"
Shanghai Chap Nian Gaos (Stir Fried Rice Cakess),"salt, corn flour, bok choy, carrot, dark soy sauce, sugar, bean paste, button mushrooms, rice flour, red chilli sauce, cabbage, sunflower oil"
White Pumpkin Mor Kuzhambu - Kerala White Pumpkin Curry,"salt, coconut, mustard seeds, vellai poosanikai, water, dry red chilli, curd, curry leaves, coconut oil, methi seeds, black pepper powder, turmeric powder, green chillies"
Paneer and Green Peas Paratha - Paneer and Green Peas Paratha,"turmeric powder, salt, wheat flour, mango powder powder, ginger green chilli, red chilli powder, water, oil, coriander powder, cheese crumble, green peas"
Elephant Yam Raita  In Hindi),"salt, rye, ginger, green chilli, kali urad dal, coriander, elephant yam, curd, oil, asafetida"
Drunken Noodles - Drunken Noodles,"fish sauce, ginger, capsicum, capsicum, capsicum, thai basil leaves, cloves garlic, baby corn, soy sauce, sriracha sauce, green onion, rice noodles, brown sugar"
Chettinad Prawn Biryani,"basmati rice, black peppercorns, curry leaves, cumin seeds, turmeric powder, green chilli paste, sunflower oil, black cardamom, ginger paste, cardamom podsseeds, garam masala powder, coconut, red chilli powder, dry red chilli, garlic paste, hung curd, bay leaves, ghee, shrimps prawns, cinnamon stick, coriander powder"
Walnut and Flax Seed Trail Mix With Figs and Honey,"dried figs, flax seeds, peanuts, walnuts, cinnamon powder"
Murgh Malaiwala - Chicken In Rich Creamy Gravy,"salt, bay leaf, ghee, milk, gram chicken, onion, lemon, badam paste, cardamom powder, black pepper powder, cinnamon stick, ginger paste, kasuri methi, garlic paste"
Paal Kesari - South Milk Kesari,"cashew nuts, ghee roasting the rava, mixed dry fruits, cardamom podsseeds, ghee, milk, raisins, sugar, saffron strands, sooji"
Spicy Lemon Chicken Kebab,"salt, red bell pepper, red chilli flakes, virgin olive oil, onion, lemon, thyme leaves, black pepper powder, chicken breasts"
Paneer Butter Masala Biryani - Layered Paneer Butter Masala Biryani,"tomato, cloves garlic, kasoori methi, onion, cardamom, salt, green chilli, cottage cheese cube, cinnamon, cashews, garam masala powder, star anise, cardamom powder, rice, red chilli powder, water, mint, coriander leaves, ginger, ghee, cumin powder, bay leaf, salt oil, black pepper"
Gond Ke Ladoo - Edible Gum Ladoo,"cashew nuts, wheat flour, ghee, dry coconut, sugar, badam, goond"
Kobari Charu - Kobbari Charu,"salt, coriander leaves, chana lentils, spoon turmeric powder, water, mustard, curry leaves, oil, coconut milk, green chillies, cumin seeds"
Basil Tincture (Or) - Herbal Drink From Basil,"water, dry ginger powder, tulsi, black pepper powder, palm sugar"
Carrot Corn Mayo Pancake With Sandwich Spread,"baking powder, wheat flour, salt, coriander leaves, black pepper powder, carrot, baking soda, curd, onion, del monte sandwich, sweet corn, eggs, green chillies, butter"
Tamil Nadu Spicy Egg Fry,"salt, ginger, gram dal, cloves garlic, black peppercorns, dry red chillies, eggs, sunflower oil"
Chirer Dudh Puli - Bengali Baten Rice Dumpling Milk,"palm jaggery date palm jaggery, coconut, poha, milk, sooji, flour"
Waffle Broth - Puppet's Yamarinta Crovy,"urad dal papad, salt, tamarind water, asafoetida, mustard seeds, jaggery, water, pearl onion, curry leaves, dry red chillies, gingelly oil, methi seeds, turmeric powder, sambar powder"
Kashmiri Modur Pulao With Pomegranate,"cashew nuts, salt, cumin powder, cardamom podsseeds, ghee, anardana powder, milk, saffron strands, raisins, water, cinnamon stick, badam, basmati rice hour, dates, cloves, sunflower oil" Mushroom Matar Masala,"tomato paste, green chilli, coriander powder, mustard seeds, asafoetida, green peas, red chilli powder, water, onion paste, ginger garlic paste, coriander leaves, onion, cumin seeds, button mushrooms, turmeric powder, garam masala powder, sunflower oil"
Dhania Chole Masala - Chickpeas In Fresh Coriander Gravy,"salt, black salt, ginger, coriander leaves, ghee, bay leaf, cloves garlic, kabuli chana, onion, lemon, cinnamon stick, brown cardamom, coriander powder, green chillies, garam masala powder"
Capsicum Masala Poriyal  in Hindi),"salt, peanuts roast, coconut, capsicum, capsicum, capsicum, mustard, curry leaves, cloves garlic un, dry red chillies, onion, oil, coriander leaves, cumin seeds"
Kerala Raw Banana and Suran Kotu Curry - Kerala Plantain & Yam Thoran,"turmeric powder, salt, green chilli, coconut, red chilli powder, cloves garlic, banana, mustard, oil, black gram, suran, cumin seeds, black pepper"
Cheese Stuffed Aloo Bonda,"coriander, salt, ginger, mustard seeds, asafoetida, mozzarella cheese, gram flour, onion, potato, turmeric powder, green chillies, sunflower oil"
Dahi Wale Paneer - Paneer In A Curd Gravy,"tomato, red bell pepper, red chillies, cumin powder, cashews almonds, paneer, coriander leaves, cloves garlic, onion, lemon, ginger chooped, gram curd, coriander powder, turmeric powder, butter, garam masala powder"
Nutty Aloo Paratha,"salt, wheat flour, cumin powder, coriander leaves, paneer, ghee, raisins, water make pliable dough, red chilli powder green chillies, potato, spinach leaves, garam masala powder, mixed nuts"
Chicken Tikka Taco Topped With Cheesy Garlic Mayo,"re beans, nutralite cheesy garlic mayo, summer salad, tomato salsa, taco shells, hariyali chicken tikka"
Masalewali Turai Sabzi - Masalawali Turai Sabzi,"tomato, turmeric powder, salt, ginger, coriander leaves, jaggery, red chilli powder, water, mustard, oil, spoon coriander powder, cumin seeds, trumpet"
Pudina Mushroom And Soya Biryani,"ajwain, cloves garlic, onion, soy, turmeric powder, green chillies, salt, cardamom podsseeds, mint leaves, star anise, garam masala powder, red chilli powder, curd, button mushrooms, ginger, ghee, bay leaf, biryani masala, basmati rice spices infused water spices include cinnamon, cinnamon stick, cloves"
White Vegetable Kurma With Coconut & Cashew,"cashew nuts, salt, coconut, fennel seeds, cardamom podsseeds, cauliflower, black peppercorns, carrot, ginger garlic paste, onion, poppy seeds, cinnamon stick, cumin seeds, cloves, potato, green chillies, star anise, sunflower oil"
Muttaikose Poriyal - Cabbage Stir fry With Coconut,"salt, green chilli, mustard seeds, coconut, curry leaves, white urad dal, cabbage"
Bengaluru Brinjal Gravy - For Biryani,"tomato, salt, mustard seeds, brinjal, coriander leaves, jaggery, red chilli powder, black peppercorns, ginger garlic paste, onion, tamarind, turmeric powder, sunflower oil"
PF Chang's Crispy Chicken Lettuce Wraps,"sweet spicy red chilli sauce, salt, soy sauce, iceberg lettuce, spring onion, chilli vinegar, garlic, black pepper powder, button mushrooms, red chilli sauce, chicken breasts cm cubes, sunflower oil"
Lemon Frozen Yogurt,"orange, orange two, curd, sugar, vanilla drops, lemon, turmeric powder"
Paneer Capsicum Sandwich,"wheat brown bread, salt, green chilli, paneer, chaat masala powder, black pepper powder, green bell pepper, butter"
Dry Suran Masala Vegetable,"salt, elephant yam, ginger, cumin powder, red chilli powder, curry leaves, onion, garlic, cumin seeds, black pepper powder, coriander powder, turmeric powder, green chillies, garam masala powder, sunflower oil Chicken Curry  Chicken Curry,"tomato, turmeric powder, salt, ginger, red chilli powder, water, curry leaves, garlic, onion, coriander powder, coconut oil, chicken breast, garam masala powder"
Lauki Ka Salan - Bottle Gourd Salan,"tomato, salt, ginger, tamarind water, mustard seeds, coconut, red chilli powder, cloves garlic, coriander leaves, onion, bottle gourd, cumin seeds, methi seeds, peanuts, sesame seeds, coriander powder, turmeric powder, green chillies, sunflower oil"
Togari Bell Thove - Tour Dal Juice,"ginger, arhar dal, ghee, mustard seeds, asafoetida, coriander leaves, water, curry leaves, lemon, tamarind, turmeric powder, green chillies"
Chicken Shawarma,"salt, cumin powder, wheat flour, hummus, milk, red chilli powder, virgin olive oil, dry yeast, ginger garlic paste, carrot, sugar, tomato pulp, chilli vinegar, tzatziki, onion, black pepper powder, cucumber, coriander powder, chicken breasts, turmeric powder"
Mushroom Paratha,"salt, wheat flour, onion, cumin seeds, ghee parathas, ghee, oil, button mushrooms, turmeric powder, green chillies, garam masala powder, sunflower oil"
Palak Chana Dal - Healthy Spinach Gram Dal,"tomato, salt, green chillies, cumin powder, chana dal, ghee, asafoetida, red chilli powder, water, ginger garlic paste, dry red chillies, onion, cumin seeds, turmeric powder, spinach leaves"
Pasi Paruppu Kosumalli (Spiced Lentil Salad),"salt, yellow moong dal, coconut, mustard seeds, asafoetida, coriander leaves, carrot, curry leaves, lemon, cucumber, green chillies, sunflower oil"
Maharashtrian Semolina and Yogurt Cake,"cashew nuts, baking powder, ghee, saffron strands, raisins, curd, cardamom powder, caster sugar, sooji"
Ragi Masala Roti,"salt, dill leaves, coriander leaves, ghee, carrot, ragi flour, onion, cumin seeds, green chillies"
Dry Sweet Potato Thoran,"salt, asafoetida, mustard seeds, curry leaves, white urad dal, onion, rasam powder, turmeric powder, sweet potatoes, sunflower oil"
Oreo Milkshake,"chocolate sauce, heavy whipping cream, oreo biscuits, milk, scoops, vanilla ice"
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo,"paprika powder, coriander leaves, lemon wedged, sweet corn, parmesan cheese, butter, del monte cheesy garlic mayo"
Paneer Matar Butter Masala  Cottage Cheese and Peas Masala With Butter),"tomato, salt, cashew nuts, ginger, ghee, paneer, cardamom podsseeds, milk, green peas, red chilli powder, onion red, cloves garlic, black peppercorns, sugar, dry red chillies, cinnamon stick, coriander seeds, kasuri methi, sunflower oil"
Dhugare Baingan - Dhungare Baingan,"kashmiri red chilli powder, green chilli, yogurt, salt ghee, cumin powder, eggsplant, coriander, onion, garam masala powder"
Rajasthani Dried Gatta Capsicum Vegetable,"salt, amchur, asafoetida, ajwain, red chilli powder, gram flour, curd, coriander leaves, cumin seeds, green bell pepper, coriander powder, turmeric powder, garam masala powder, sunflower oil"
Indo Chinese Crispy Chicken Chilli,"salt, ginger, corn flour, soy sauce, water, green chilli sauce, garlic, chicken, onion, vinegar, black pepper powder, green bell pepper, tomato pasta sauce, flour, red chilli sauce, green chillies, sunflower oil"
And fish soup - Bengali fish curry,"tomato, salt, coriander leaves, aar maach, bay leaf, mustard oil, red chilli powder, water, ginger garlic paste, cumin seeds, coriander powder, turmeric powder, green chillies"
Stem Lettuce Tamarind Broth - Surri left behind by Amarnath Greens,"tomato, salt, tamarind pulp, mustard seeds, asafoetida, methi powder, sesame oil, cloves garlic, curry leaves, onion, green amaranth leaves, sambar powder"
Crispy Masala Peanuts - Gujarati Sing Bhujia,"salt, chaat masala powder, red chilli powder, water, gram flour, peanuts, black pepper powder, coriander powder, rice flour, sunflower oil"
Maa Ki Dal ),"tomato, salt, ginger, kashmiri red chilli powder, ghee, kidney beans, black urad dal, coriander powder, cumin seeds, garam masala powder"
Palak Mushroom Makhani - Creamy Spinach & Mushroom,"tomato, green chillies, cumin powder, ginger, button mushrooms, salt, ghee, cloves garlic, cinnamon stick, cumin seeds, turmeric powder, spinach leaves, garam masala powder"
Dahi Bhalla Papdi Chaat,"cumin powder, curd vada, anardana powder, chaat masala powder, boondi sev, sweet chutney, carrot, coriander leaves, onion, peanuts, papdi puris, green chutney"
Wheat Grass Shikanji - Wheat Grass Lemonade,"black salt, cumin powder, lemon, black pepper powder, wheat grass powder"
Chole Masala - Dry Masala Chickpeas ),"turmeric powder, salt, gingerpaste, red chilli powder, kabuli channa soak then boil, spoon cumin powder, amchoor powder, oil, coriander powder, chana masala powder, cumin seeds"
Rajasthani Kachri Chutney - Rajasthani Kachri Ki Chutney,"salt, ghee, cloves garlic, curd, kachris, dry red chillies, cumin seeds"
Fasting Potato Paneer - Potato Paneer Curry Without Onion And Garlic,"tomato, salt per, gms cheese, ginger grated, red chilli powder, coriander powder, potatoes, oil coriander leaves finely, green chillies, cumin powder baked"
 Katachi Amti  In Hindi),"salt, cumin, black peppers, lentil water chana lentil water, coriander leaves, curry leaves break, jaggery, water, mustard, bay leaf, goda masala, oil, tamarind paste reduce you like"
Khara Obbattu (Bread Stuffed With Spicy Potato Mixture),"salt, wheat flour, ginger, red chilli powder, cloves garlic, curry leaves, curd, coriander leaves, onion, cumin seeds, potato, sooji, flour, turmeric powder, green chillies, sunflower oil"
Cauliflower Matar Bhurji  in Hindi),"tomato, turmeric powder, salt, coriander leaves, red chilli powder, ginger garlic paste, onion, oil, green chillies, green peas, garam masala powder, cabbage"
Kashmiri Paneer Masala,"tomato, salt, kashmiri red chilli powder, bay leaves, cardamom podsseeds, paneer, asafoetida, ajwain, fennel seeds, saffron strands, curd, dry ginger powder, coriander leaves, cinnamon stick, garam masala powder"
Aromatic Vegetable Pulao,"tomato, coriander, salt, star anise, rice, cardamom podsseeds, potato, red chilli powder, green peas, carrot, ginger garlic paste, mint leaves, onion, cinnamon stick, green bell pepper, cloves, garam masala powder, sunflower oil"
Spicy Curd - Spicy Curd With Onions,"salt, coriander leaves, green chilli, red chilli powder, water, carrot, curd, onion, oil, cucumber, cumin seeds"
Mustard Vegetable Curry,"turmeric powder, salt, vegetable stock, green peas, red chilli powder, cloves garlic, carrot, green beans, onion, oil, potatoes, coconut milk, dijon mustard, cumin seeds"
Spicy Vegetable Pulao with Coconut Milk,"salt, green beans, ginger, cardamom podsseeds, bay leaf, ghee, cloves garlic, carrot, cinnamon stick, rice, cloves, coconut milk, turmeric powder, green chillies, cauliflower florets"
Bengali Aloo Dum - Bengali Aloo Dum,"turmeric powder, tomato, salt, stock coriander leaves, ginger, yogurt, cinnamon, red chilli powder, cloves garlic, bay leaf, sugar, onion, potatoes boil remove the skin, cardamom, coriander powder, oil, green chillies, garam masala powder"
